Species,Population,Latitude,Longitude,Year_start,Year_end,Temperature,Vial,Replicate,Sex,Thorax_length,l2,l3p,l3d,lpd,l3,w1,w2,w3,wing_loading
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,6,3,female,.,1.650,0.573,1.415,1.988,1.986,0.898,1.207,1.003,.
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,6,3,male,1.063,1.608,0.549,1.418,1.966,1.965,0.908,1.193,1.018,1.848
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,7,1,female,1.129,1.660,0.633,1.381,2.014,2.013,0.899,1.211,1.007,1.783
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,7,1,male,1.003,1.537,0.466,1.378,1.843,1.842,0.821,1.099,0.956,1.835
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,7,2,female,1.126,1.704,0.593,1.489,2.083,2.081,0.919,1.245,1.026,1.848
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,7,2,male,1.034,1.499,0.538,1.291,1.829,1.828,0.833,1.126,0.924,1.767
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,7,3,female,1.151,1.674,0.544,1.424,1.967,1.966,0.885,1.225,1.001,1.709
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,7,3,male,1.106,1.589,0.552,1.365,1.918,1.915,0.884,1.156,1.015,1.732
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,8,1,female,1.187,1.728,0.620,1.468,2.088,2.088,0.920,1.239,1.044,1.759
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,8,1,male,1.086,1.626,0.532,1.410,1.942,1.940,0.862,1.164,0.986,1.787
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,8,2,female,1.157,1.731,0.541,1.503,2.045,2.044,0.894,1.227,1.038,1.767
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,8,2,male,1.068,1.601,0.546,1.390,1.936,1.936,0.894,1.193,0.992,1.813
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,8,3,female,1.178,1.764,0.592,1.504,2.096,2.095,0.935,1.261,1.067,1.778
